	vclaim	title
7986	Rep. Trey Gowdy ordered the exhumation of the body of Clinton associate Vince Foster.	Trey Gowdy Just Had a Federal Judge Issue an Order to Exhume a Body?
4194	Claire Braz-Valentine wrote and read  “An Open Letter to John Ashcroft” at Cabrillo College.	Claire Braz-Valentine Letter to John Ashcroft
3456	An iPhone operating system upgrade in 2018 removed Easter holidays from the iOS calendar application.	Did Apple Remove Easter from iOS Calendars?
4347	Country singer Tim McGraw recently expressed support for President Obama.	Tim McGraw Infuriates Country Fans with Obama Statement
3041	Abraham Lincoln was an accomplished wrestler who was inducted into the Wrestling Hall of Fame with a near-perfect record.	Is Abraham Lincoln in the Wrestling Hall of Fame?
5460	Hillary Clinton wore a secret earpiece during the first presidential debate of 2016.	Hillary Clinton Wore Secret Earpiece During First Presidential Debate?
6698	No one knows who stole the bride’s father’s wallet . . . until a viewing of the wedding video reveals the criminal.	The Outlaw Inlaw
4056	Capriccio Bubbly Sangria beverages are contaminated with HIV.	Is Capriccio Sangria Spreading HIV?
1176	A Spanish fisherman survived in a whale's belly for three days before being 'flushed out' alive.	Fisherman Survives Inside Whale for Three Days
2781	A video shows a group of ducks patiently waiting at a traffic light.	Does This Video Show Ducks Obeying a Traffic Light?
6930	Personal information that might be used in identity theft schemes against you can be obtained from the web site anybirthday.com.	Anybirthday.com
6187	Looking for a gap between an object and its reflection is a way to distinguish two-way mirrors from ordinary mirrors.	How to Spot a Two-Way Mirror
4450	Deputy Scott Wood was shot by black convenience store robbers, and the incident was not widely reported in the national media.	Deputy Scott Wood Shooting
4507	Dogs and wolves are genetically 99.9% identical.	Are Dogs Really 99.9% Wolf?
7289	Photographs show a garbage truck converted into a camper.	Garbage Truck Camper
3536	An infographic of 2020 Democratic presidential candidates that aired on MSNBC excluded U.S. Sen. Bernie Sanders.	Did MSNBC Exclude Bernie Sanders from a Graphic About a Campaign Event?
690	"The former Alabama state Attorney general, Bill Baxley, once told a Ku Klux Klan Grand Dragon ""kiss my ass"" in response to threats."	Did the Attorney General of Alabama Once Tell the Ku Klux Klan to ‘Kiss My Ass’?
11	A Democratic National Committee tweet included an altered version of a Socialist party's poster	Did Democrats Tweet an Altered Version of a Socialist Party Poster?
9009	The Pokemon Go app is covertly passing information to Google Maps as well as the National Security Agency (NSA).	Pokemon Go Uploads Your Data to Google Maps
8846	The Facebook group 'Becoming a father or mother was the greatest gift of my life' was created by pedophiles to gain access to kids' photos.	Facebook ‘Greatest Gift’ Group
1123	A Navy airman wrote ‘An Open Letter to the Dixie Chicks.’	An Open Letter to the Dixie Chicks
7010	Photograph shows a 1956 computer disk memory storage unit.	Computer Storage (1956)
8740	The CIGNA foundation will donate $1 towards breast cancer research for every visitor who clicks the pink ribbon on their web site.	Cigna Breast Cancer Awareness
4659	Dr. Bandy Lee, who has warned the United States that Donald Trump is dangerously impaired, lacks a medical license.	Does the Psychiatrist Who ‘Diagnosed’ President Trump Lack a License?
3910	Boxer Floyd Mayweather is giving away $2.6 million to one lucky fan on Facebook.	Floyd Mayweather Giving Away Money on Facebook?
8805	The Equifax compensation settlement reported in July 2019 was authentic and potentially allowed members of the public to claim monetary benefits.	Can Eligible People Get Money From the Equifax Breach Settlement?
8859	The Fox News Channel has been banned in Canada because they report false information	Fox News Banned in Canada?
9458	The number on a sample Social Security card distributed in wallets sold through Woolworth stores was used by thousands of people.	The Woolworth Social Security Card
7385	Photographs show examples of a body modification practice known as corset piercing.	New Summer Trends
7676	President Obama declined to answer a question about whether he would give up his current health care program.	The $64,000 Question for Obama
2999	A young lady on a date breaks wind in private . . . only to find out it wasn’t so private after all.	The Fart in the Dark
3530	An incoming 'record-breaking snowfall' will blanket most of the U.S. this winter.	Meteorologists Predict Record-Shattering Snowfall Coming Soon
3283	American Express issues a special black card that allows its holders to buy anything.	Black American Express Card
323	Finnish President Sauli Niinistö posted a video after his White House visit saying that he'd rather hang around reindeer than Donald Trump.	Did the President of Finland Post a Video Response to His White House Visit?
9253	The combination of green stalks and brown spots in a bunch of bananas is indicative of chemical ripening; black stalks indicate a naturally ripened banana.	Can You Tell If a Banana Is “Chemically Ripened” by Looking at It?
2933	A woman dies of a heart attack with a phone still in her hand. The telephone in her husband’s crypt is later discovered to be off the hook.	Phone Call From the Grave
8915	The Make-a-Wish Foundation will donate 7¢ per per e-mail forward towards the care of 7-year-old Chad Briody, who is dying of lung cancer and a brain tumor.	Chad Briody
6747	Oil giant Baker Hughes donated $100,000 to the Susan G. Komen Foundation and now plans to distribute 1000 pink drill bits.	Fracking Firm to Sell Pink Drill Bits for Susan G. Komen Partnership
9591	The suspect in the fatal Austin bombings of March 2018 was part of a group calling itself 'Righteous Invasion of Truth.'	Was the Austin Bombing Suspect Part of a Christian Homeschooling Group?
13	"A Florida judge ruled that the government can ban vegetable gardens because they're ""ugly.""  "	Judges Rules the Government Can Ban Vegetable Gardens
7213	Photographs depict a rare 'Hunter's Moon,' a phenomenon that creates the appearance of two suns in the sky.	Are These Photographs of a ‘Hunter’s Moon’?
4758	During the December 2004 tsunami, elephants in Phuket, Thailand, who had broken free from their handlers returned to the beach as soon as the waves had subsided to rescue 42 people.	Elephant Rescue During Tsunami
2016	A photograph shows Lake Kawaguchi near Mount Fuji in Japan.	Is This Japan’s Lake Kawaguchi?
4159	China is making corned beef with dead bodies, then selling the products to Africa.	China Producing Corned Beef with Dead Bodies
936	A 1986 diary entry by President Ronald Reagan described George W. Bush as a “shiftless ne’er-do-well.”	Ronald Reagan on George W. Bush
7672	President Obama banned immigration from Iraq for six months in 2011, but the media buried the story.	Did President Obama Ban Muslims from Entering the United States in 2011?
439	Ivanka Trump will move into the White House because Melania Trump is not immediately planning to do so.	Ivanka Trump Will Move Into White House ‘to Fill Melania’s Vacancy’
7189	Photograph shows the chief of Brazil’s Kayapó tribe weeping over the approval of a hydroelectric dam project that will destroy tribal forest areas	Chief of the Kayapo Devastated
6075	Landmarks all over the world were bathed in purple light to honor Prince after his death in April 2016.	Landmarks Went Purple in Honor of Prince?
9263	The corpse of a bigfoot was found at Elephant Butte Lake.	Dead Bigfoot Confirmed at Elephant Butte Lake, New Mexico?
9097	The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.	Did Lawmakers Demand the Pentagon Disclose If It Developed Weaponized Ticks?
6850	Parents of children born between 1980 and 1991 are entitled to a $1400 settlement from Enfamil and Similac.	Baby Formula Settlement
10011	Victims of domestic violence can effectively send out a secret signal for help by drawing black dots on their palms.	The Black Dot Campaign
110	A video shows 5 million bikers on their way to Washington D.C. to demand an end to the Russia investigation.	Are 5 Million Bikers Heading to D.C. to Demand an End to the Russia Investigation?
4826	E-mail reproduces TMZ article about Duane Martin and Tisha Campbell	Duane Martin Comes Out: Ends Eleven-Year Marriage with Tisha Campbell
3634	Arnold White admitted he had kidnapped and sexually assaulted 79 people while he was disguised as an alien.	Did a Texas Man Confess to Kidnapping 79 People While Disguised as an Alien?
7828	President Trump said that “everybody would be very poor” if he were impeached.	Did President Trump Say “Everybody Would Be Very Poor” If He Were Impeached?
8971	The New York Times contradicted their 20 January 2017 report about wire tapping in an article entitled 'Trump, Offering No Evidence, Says Obama Tapped His Phones.'	Did the New York Times Contradict Their 20 January 2017 Report About Wiretapping?
1420	A dramatic video shows highway traffic along a large California wildfire in November 2018.	Does This Video Show Highway Traffic Near the November 2018 California Wildfire?
5279	George W. Bush took a half hour off from glad-handing supporters at a ‘thank you’ dinner to witness for Christ to a teenage boy.	President Bush Prays
2217	A photograph shows a real baby platypus.	Is This a Photograph of a Baby Platypus?
4624	Donald Trump was born in the Philippines, and not Queens, New York, as he claims.	Was Donald Trump Born in the Philippines?
231	Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.	Does Blue Buffalo Dog Food Contain Toxic Levels of Lead?
2234	A photograph shows a small boy who was handcuffed at Dulles Airport due to temporary immigration restrictions implemented in January 2017.	Was a Small Child Handcuffed at Dulles Airport Due to Entry Restrictions?
8362	Soldier scrawls his response to an unfaithful woman on the back of a tank.	Armored Division
1194	A Texas farmer named Herman Oberweiss filed an unusual, self-penned will in 1934.	The Oberweiss Will
7539	Popular cereals (including Lucky Charms and Cheerios) contain 'paint thinner' and pose a danger to children.	Is ‘Paint Thinner’ Trisodium Phosphate Found in Cereals?
4698	Drug runner evades detection by driving a fast black car at night while wearing night vision goggles.	Night Vision Glasses While Driving
3953	Burger King created a fake ‘discontinued’ sandwich from the 1970s for nostalgia purposes.	Burger King Yumbo
2553	A special property of the equinox allows eggs (or brooms) to be balanced on their ends that day.	Egg Balancing on the Equinox
2022	A photograph shows Melania Trump's grandmother, Olga Orlif, who was a Soviet Soldier in World War II.	Melania Trump’s Grandmother was a Soviet Soldier?
1032	A December 2015 school shooting in Arapahoe County, Colorado, was circumvented by an armed school resource officer.	Was the Arapahoe School Shooting Stopped by an Armed School Official?
10238	Winston Churchill once said that the 'fascists of the future will call themselves anti-fascists.'	Did Winston Churchill Say ‘The Fascists of the Future Will Call Themselves Anti-Fascists?’
8889	The Indianapolis 500 has been cancelled and moved to Florida due to Indiana’s passage of the Religious Freedom Restoration Act.	Indy 500 Cancelled Due to Indian’s New Anti-Gay Law
9432	The mens underwear section of a 1975 Sears catalog featured a picture of a male model whose penis could be seen peeking out from beneath a pair boxer shorts.	Sears Catalogue Model Exposed
2005	A photograph shows Georgia gubernatorial candidate Stacey Abrams touting the support of communists and the Muslim Brotherhood.	Does This Photograph Show Stacey Abrams Touting the Support of Communists and the Muslim Brotherhood?
3722	Author J.K. Rowling was the first person to fall off of the Forbes billionaires list due to donating so much money to charity.	Did J.K. Rowling Drop Off Forbes Billionaires List Due to Charitable Donations?
2244	A photograph shows a tiger that was spotted near the Lake of the Ozarks.	Was a ‘Large Cat’ Spotted at Lake of the Ozarks?
244	Chase Bank deleted a tweet advising consumers to shore up low account balances by not eating out or buying coffee.	Did Chase Bank Delete a Tweet Taunting People Who Ask ‘Why Is My Balance So Low’?
6393	Michael Jordan threatened to move the Charlotte Hornets out of North Carolina over the state's HB2 bathroom law.	Michael Jordan to North Carolina: ‘HB2 Goes or the Charlotte Hornets Go’
10212	White House Press Secretary Josh Earnest said World War II veterans who felt 'embittered' by diplomatic relations with Japan on the anniversary of Pearl Harbor in 2016 should 'get over it.'	Did the White House Press Secretary Say That WWII Vets Upset About Japan Visit Should ‘Get Over It’?
6752	Olive Garden policy prohibits display of the U.S. flag.	Olive Garden Flag Ban
340	Former president Jimmy Carter has announced that the cancer in his liver has spread to other parts of his body.	Did Jimmy Carter Announce That His Cancer Is Spreading?
1396	A deceased mother finds a way to tell her son what their last dinner together meant to her.	A Date with Mom
4416	Debby Ryan had a heart attack after learning that her former co-star Cameron Boyce had passed away.	Did Debby Ryan Have a Heart Attack?
7897	Property owners in New York City will be fined $250,000 for using 'improper pronouns' due to new transgender laws.	New NYC Laws Prohibit Discrimination Against Transgender Community
948	A 2011 chart compares changes in the U.S. national debt over the last several presidencies.	Who Increased the Debt?
8788	The Department of Homeland Security determined that 300 criminals were traveling in the Central American migrant caravan.	Are 300 ‘Known Convicts and Gang Members’ Among the Migrant Caravan?
2955	A woman named Shanell Rivers put blood and dog feces into various products at a Starbucks in Atlanta.	Were Blood, Dog Feces Hidden Inside Starbucks Products?
4817	E-mail presents Bill Brown’s assessment of Barack Obama’s political record.	Bill Brown/Bill Graham – Obama Tidal Wave
8584	Ted Cruz said that he was a Christian first and an American second.	Did Ted Cruz Say He Was a Christian First and an American Second?
7212	Photographs depict a couple posing with a dolphin that died because the woman urinated in its blowhole.	Did a Couple Kill a Dolphin by Urinating on It?
3896	Bodies of suicide victims have been mistaken for Halloween decorations.	Was a Suicide Mistaken for Halloween Decoration?
909	A 16-year-old girl named  Casey Nicole Mueller is missing.	Missing Child: Casey Nicole Mueller
8967	The Navy discharged a black sailor named Janaye Ervin for refusing to stand for the National Anthem.	Was a Navy Reservist Discharged for Protesting the National Anthem?
7642	President Donald Trump was using an anti-Semitic slur when he called NBC host Chuck Todd 'sleepy eyes.'	Is ‘Sleepy Eyes’ an Anti-Semitic Slur?
732	U.S. Federal Election Commission Chair Ellen Weintraub wrote an open letter to President Donald Trump in August 2019, asking him to share any evidence he had of voter fraud.	Did the FEC Chair Ask Trump for Evidence of Voter Fraud, Writing ‘Lay Your Cards on the Table’?
77	"A photograph shows an African child on display in a ""human zoo"" at the 1958 World's Fair in Brussels, Belgium."	Is This a Photograph of a ‘Human Zoo’ at the 1958 World’s Fair?
622	"TV host Brian Kilmeade said, “If you use the term 'This is an invasion,' that's not anti-Hispanic. It's a fact."""	Did Fox Host Brian Kilmeade Say the Term ‘Invasion’ Is ‘Not Anti-Hispanic. It’s a Fact’?
5274	George Soros was arrested in Switzerland in February 2019.	Was George Soros Arrested in Switzerland in February 2019?
7935	Ralph Macchio was killed in a snowboarding accident in Switzerland.	Snowboard Death Hoax
6038	Kentucky is planning the “purchase of a submarine to patrol the waters of the Commonwealth and search and destroy all casino riverboats.”	Kentucky Submarine Purchase
2448	A rapist may sue a victim for custody of a child in 31 states, but in no states may victims seek child support from rapists.	Can Rapists Sue for Child Custody, While Rape Victims Cannot Sue for Child Support?
9425	The media covered up an incident in San Bernardino during which several Muslim men fired upon a number of Californian hikers.	Muslims Open Fire on California Hikers?
6398	Michele Bachmann said during an appearance on 'Fox & Friends' that Jesus created assault rifles.	Did Michele Bachmann Say That ‘Jesus Created Assault Rifles’?
7466	Pizza Hut pressured employees in Florida to return to work 'within 72 hours' if they evacuated because of tropical storm Irma.	Did Pizza Hut Pressure Workers Evacuating From Irma’s Path to Stay at Work?
7151	Photograph shows artwork around the urinals of a men’s restroom at a hotel in Queenstown, New Zealand.	Queenstown Men’s Room
1365	A corpse went undiscovered for two weeks at a Halloween haunted house attraction.	Man Dies in Haunted House, Mistaken for Prop for Almost 2 Weeks
1766	A meme shows the effects of 'big government policies' on San Francisco, which is U.S. House Speaker Nancy Pelosi's district.	Does a Meme Show U.S. Rep. Nancy Pelosi’s District in San Francisco?
4239	Cold Stone Creamery is giving free or discounted ice cream to female customers that appear to be pregnant.	Facebook Cold Stone Pregnancy Discount
10045	Video clip shows an Australian politician being interviewed about an oil tanker spill.	The Front Fell Off
7553	Powerade commercial shows footage of basketball star Lebron James sinking a series of extraordinarily long shots.	Power Basketball
4087	Celebrity chef Gordon Ramsay directed his entire staff to 'take a knee' and refuse service to Miami Dolphins players over national anthem protests against police brutality.	Gordon Ramsay Has Entire Staff Take a Knee, Refuse to Serve Miami Dolphins?
8413	Southwest Airlines changed their slogan to capitalize on the public relations misfortunes of competitor United Airlines.	Did Southwest Airlines Change Their Slogan After United Airlines Controversy?
4497	Doctors believe an increased number of microcephaly cases in Brazil is due to the use of a Monsanto-manufactured pesticide.	Zika Microcephaly Outbreak Caused by Monsanto Pesticide?
8610	Television journalist Geraldo Rivera was born Jerry Rivers but changed his name to appeal to Latino viewers.	Is Geraldo Rivera’s Real Name ‘Jerry Rivers’?
8129	Sarah Palin said that America was not to blame for slavery, and that 'the negroes' liked it.	Sarah Palin on Slavery
10281	World Series victories by the Boston Red Sox predict defeat for incumbents in presidential elections.	Red Sox Victories Predict Election
6680	Newt Gingrich tweeted about the 2 December 2015 San Bernardino shooting on 13 November 2015.	Newt Gingrich Tweeted About San Bernardino Attack in November
8641	Text describes the process of producing mechanically separated chicken.	Pink Slime and Mechanically Separated Chicken
3353	An Indiana man filmed Comcast Xfinity repairmen causing automobile accidents, then refusing to take responsibility.	Comcast’s Car Crash
10354	“CDC whistleblower” Brent Hopskins revealed that all doses of the Ebola vaccine contain an RFID chip.	RFID Chips in Ebola Vaccine?
2268	A photograph shows a young Franklin Delano Roosevelt, the 32nd President of the United States.	Is This Dashing Young Man Franklin D. Roosevelt?
5112	For five years, Webster’s New International Dictionary mistakenly included an entry for dord, a word that did not exist.	Dord: The Word That Didn’t Exist
7878	Principal Jody McLoud of Roane County High School in Kingston, Tennessee, delivered a controversial speech before a school football game.	Roane County High School Prayer
627	"Teenagers are participating in a dangerous new internet craze known as the ""No Lackin Challenge,"" and two teenagers was shot in the head during an instance of the fad gone awry."	No Lackin Challenge
5991	Julian Assange asked President-Elect Donald Trump for a pardon in exchange for his help in defeating Hillary Clinton.	WikiLeaks Asks President-Elect Trump to Pardon Julian Assange as Compensation?
3001	A young man busy pleasuring himself discovers his mother has left a cup of tea at his bedside.	Tea Left By Mom
5897	Jared Michelle sold his testicles to raise money in support of Bernie Sanders' presidential campaign.	Did a Brave Millennial Sell His Testicles to Raise Money for Bernie’s 2020 Campaign?
1595	A leaked email proves that President Obama once spent $65,000 of taxpayer money on hot dogs.	Did President Obama Once Spend $65,000 on Hot Dogs?
9779	Transcript reproduces Michael Richards’ defense speech in court after he made racist comments in his comedy act.	Michael Richards – Proud to be White
2562	A statement reproduces Hillary Clinton's response when asked to identify her major accomplishments as Secretary of State.	Hillary Clinton Describes Her Major Accomplishments as Secretary of State
8099	Ruth Bader Ginsburg has resigned her U.S. Supreme Court seat and moved to New Zealand.	Is Ruth Bader Ginsburg Retiring and Moving to New Zealand?
8036	Retired Marine Col. Jeffery Powers penned an open letter to NFL commissioner Roger Goodell describing how he felt about players kneeling during the national anthem.	Did a Retired Marine Write an Open Letter to the NFL’s Roger Goodell About Kneeling Football Players?
8659	The 'Fire Fairy Challenge' has tricked multiple children into harming themselves.	Are Children Harming Themselves Because of a ‘Fire Fairy’ Game?
4789	E-mail describes the kidnapping, assault, and torture of Megan Williams by six white suspects.	Megan Williams Attack
1297	A can of cookie dough exploded inside a woman's vagina during a shoplifting incident at Walmart.	Cookie Dough Explodes During Shoplifting Incident
3757	Barack Obama did not attend Columbia University.	Barack Obama at Columbia
1952	A photograph shared on social media in mid-2019 shows a 'skinhead' police officer with a 'right-wing militia' tattoo.	Does This Photo Show ‘Skinhead Cop with a Right-Wing Militia Tattoo’ Arresting a Jewish Protester?
7307	Photographs show a motorcyclist who crashed into the back of a truck.	Tulsa Crash
3813	Ben Stein penned an editorial about ‘figuring out’ Barack Obama.	Ben Stein – We’ve Figured Him Out
4705	Drummer Travis Barker was found dead in his garage in November 2007.	Travis Barker Death Hoax
9672	There is a proven natural cure for cancer called sour honey, but pharmaceutical companies and politicians are trying to keep it under wraps for financial gain.	“Sour Honey’ is a Cure for Cancer?
6879	Patient zero for the 2014-2015 measles outbreak was found to be an already-vaccinated child or illegal immigrant.	Measles Outbreak Patient Zero
4807	E-mail memorializes the shaken baby death of 3-month-old London Marie Sherwood.	Never Shake a Baby – London Marie Sherwood
327	Former Clinton Foundation CEO Eric Braverman sought asylum in Russia after Wikileaks documents unmasked him as a mole.	Kremlin in Turmoil After Clinton Foundation CEO Requests ‘Urgent and Immediate’ Asylum
4374	CryptoLocker	CryptoLocker
1152	A Portland at gallery displayed an artwork that depicted President Trump's throat being slit with a knife.	Did a Portland Art Gallery Display an Artwork Depicting President Trump’s Throat Being Slit?
2968	A woman sued a pharmacy from which she bought contraceptive jelly because she became pregnant even after eating the jelly (with toast).	Contraceptive Jelly on Toast
8243	Sending a petition to the United Nations will help prevent a war between the U.S. and Iraq.	U.N. Petition
7114	Photograph shows a tornado that hit Kentucky in March 2012.	Kentucky Tornado
4560	Donald Trump hung a photograph of the Women's March at the White House believing that it showed his inauguration.	Did Trump Hang a Photograph of the Women’s March at the White House?
4674	Dr. Robert Gallo admitted to 'inventing' the HIV virus in a plot to 'depopulate humanity.'	Did the Man Who Discovered the HIV Virus Confess to ‘Inventing’ It?
3219	After unlocking an iPhone belonging to one of the people involved in the San Bernardino shooting, the FBI ruined the device by spilling water on it.	FBI Spilled Water on San Bernardino Shooter’s iPhone?
5053	Fed up with the endless stream of wrong numbers meant for a local hotel, a Tennessee woman begins fielding calls on their behalf.	Ribrock Hotel Revenge
825	'The Simpsons' depicted that President Donald Trump would touch a glowing orb fifteen years before he actually did so during a trip to the Middle East.	Did ‘The Simpsons’ Predict That President Trump Would Touch a Glowing Orb?
1657	A man attempts to surprise his family by dressing up as Santa Claus and entering the house by sliding down the chimney. He gets stuck, dies, and is discovered by his family after they light a fire in the fireplace.	Santa Stuck in Chimney
7258	Photographs show a USAF airman marshaling a jet in a non-standard, revealing outfit.	Airman Directs Jets in His Underwear
744	U.S. President Donald Trump threatened the Ukraine whistleblower, and the person who supplied the whistleblower with information, with death.	Was Trump Caught on Leaked Recording Threatening Ukraine Whistleblower With Death?
8323	Singer Willie Nelson said of his September 2006 drug offense, “It’s a good thing I had a bag of marijuana instead of a bag of spinach. I’d be dead by now.”	Willie Nelson on Spinach
3676	Asked about a deer’s final thoughts, Ted Nugent dissed the French.	Ted Nugent Quote
326	"Ford USA announced in September 2018 that Colin Kaepernick would star in their new ""Built Ford Tough"" advertisements."	Did Ford Make Colin Kaepernick the Face of Their New Ad Campaign?
9775	Transcript documents an unaired interview between Chris Matthews and Cardinal Bergoglio.	Chris Matthews and Cardinal Bergoglio Transcript
9061	The Target retail chain has installed urinals in their women's bathrooms.	Target Puts Urinals in Women’s Bathrooms
1063	A Google Maps image captured a man shooting a child in Chicago.	Google Maps Image Captured a Shooting in Chicago?
8851	The Federal Emergency Management Agency scheduled a massive earthquake preparedness drill on the same day as the California primary.	FEMA Earthquake Drill Disrupting California Primary
7594	Presenting a rare 1943 copper cent to Ford entitled the bearer to a brand-new automobile.	1943 Penny For a Ford Automobile
8618	Temple Baptist Church was built on land sold for fifty-seven cents, the amount saved by a little girl who had been turned away from its Sunday school.	57 Varieties of Truth
6472	Mitt Romney said Michelle Obama should be called the “First Woman,” not the “First Lady.”	Mitt Romney: Michelle Obama Is First Woman, Not First Lady
9716	Three New Jersey state senators were arrested in connection with a child prostitution ring.	Were Three Democratic Senators Busted for Running an Underage Prostitution Ring?
3185	Ads on Craigslist sought to recruit paid protesters to swarm Donald Trump rallies.	Craigslist Ads Recruit Paid Protesters for Trump Rallies
8891	The Israelis have developed an airport scanner alternative: a booth that detonates any explosive device a passenger is carrying.	Has Israel Developed an Airport Scanner That Detonates Explosives?
6608	Naugahyde is made from the skins of the nauga, an odd yet engagingly friendly creature native to Sumatra.	Naugahyde and the Nauga
9495	The planned cover for a hip-hop album due to be released in November 2001 depicted an exploding World Trade Center.	Did a 2001 Albums’s Cover Art Depict a Flaming WTC?
7182	Photograph shows sailors spelling out the words ‘FUCK IRAQ’ on the deck of a U.S. aircraft carrier.	Naval Engagement
1301	A cardinal announced that the Catholic Church no longer believes that Jesus will return.	Jesus Is Not Coming Back, Vatican Says
4710	Due to a recent court ruling, It is now legal for women in the U.S. to display their breasts in public.	Did a U.S. Federal Court Rule That Women are Free to Display Their Breasts in Public?
7102	Photograph shows a satellite image of Hurricane Katrina.	Satellite View
6078	Las Vegas casino owners and the Nevada Gaming Commission are lobbying to legalize dog fighting.	Las Vegas Casino Owners, Gaming Commission Seek to Legalize Dog Fighting
3610	Any car equipped with a remote keyless entry system can be unlocked via cell phone.	Will a Cell Phone Unlock Keyless Cars?
3638	Article bemoans the plight of childless couples.	Pity the Childless Couple
1798	A mounted policeman's horse had its leg broken by protesters during anti-Trump demonstrations.	Anti-Trump Protesters Break Horse’s Leg
1896	A photograph captures President George W. Bush holding a book upside-down in a classroom.	Does This Photograph Show President Bush Reading a Book Upside-Down?
5450	Hillary Clinton was fired from the House Judiciary Committee's Watergate investigation by Chief Counsel Jerry Zeifman.	Did Jerry Zeifman Fire Hillary Clinton from the Watergate Investigation?
335	Former U.S. President Barack Obama endorsed the grandson of a terrorist for federal office.	Did Barack Obama Endorse the Grandson of a Terrorist for U.S. Congress?
6414	Michigan has passed a law exempting emergency medical personnel from treating gay people.	Did Michigan Exempt Emergency Medical Personnel from Treating Gay People?
7438	Photographs show wolves killed in Idaho.	Idaho Wolves
6956	Photograph depicts fetuses found in a Chinese food restaurant's freezer.	Fetuses Found in Chinese Restaurant Freezers?
6233	Man dressed as superhero knocks himself unconscious after tying his wife to the bed.	Batman with a Twist
9754	To enhance maximum driving safety, motorists should keep their hands at the 10 and 2 o’clock positions on the steering wheel.	Should You Put Your Hands at the 10 and 2 O’Clock Positions on the Steering Wheel?
10324	You should donate money to help an expectant couple seeking to raise $50,000 in order to avoid opting for an abortion.	Help My Baby Live, Please
2086	A photograph shows a Seattle Seahawks player burning an American flag.	Did an NFL Player Burn an American Flag in a Locker Room?
6937	Petition seeks to ensure justice is done in the case of a mother who killed her baby in a microwave.	Cooked Baby Petition
3809	Ben Carson said that illegal immigrants who get caught voting should be stripped of citizenship.	Did Ben Carson Say That Illegal Immigrants Caught Voting Should Lose Their U.S. Citizenship?
9854	U.S. President Donald Trump 'crashed' a wedding a 'groped' the bride.	Did President Trump ‘Crash’ a Wedding and ‘Grope’ the Bride?
6161	List of double entrendres collects 'the top nine comments made by NBC sports commentators during the Summer Olympics.'	Olympic Goofs
4075	Casey Anthony confession video.	Casey Anthony Confession Video Scam
2107	A photograph shows a chemtrail switch on a plane.	Chemtrails Switch Photo
652	The NFL fined players for violating league uniform rules by wearing 9/11 memorial cleats during football games played on 11 September 2016.	NFL Fining Players for Wearing 9/11 Memorial Cleats?
2142	A photograph shows a group of Texas college students protesting the rising cost of education by writing their debts on their graduation caps.	Photograph Doesn’t Show Texas Students Protesting College Debt
7419	Photographs show the passenger cabin of an airliner as it broke up in mid-air.	Air France Crash Photos
6589	NRA executive vice president Wayne LaPierre was disqualified from the draft due to a psychological condition.	Did NRA Leader Wayne LaPierre Receive a Draft Deferment for a ‘Nervous Disorder’?
8477	Storing a car battery on a concrete floor will drain the battery and ruin it.	Do Cement Floors Ruin Car Batteries?
8029	Restroom user responds to cell phone user’s conversation overheard from the next stall.	Cell Phone Conversation in Restroom
9614	The toy company Hasbro acquired Death Row Records.	Did Hasbro Toys Acquire Death Row Records?
2907	A well-guarded car proves not to be so well guarded after all when it’s found one morning turned around in its parking spot, sporting a “If we want it, we’ll take it” note from the mischievous thieves.	Theft of Well-Guarded Car
6329	Meg White is replacing Rush's drummer Neil Peart.	Meg White Isn’t the New Drummer for Rush
173	Amazon's use of the USPS for package delivery services has resulted in a severe financial loss to the Postal Service.	Is Amazon Bankrupting the United States Postal Service?
4837	E-mail reproduces quotes from Sarah Palin news interviews.	Quotes from Sarah Palin
4774	Dynamic Pet Products Real Ham Bone have caused several dogs to fall ill and die.	Dynamic Pet Products Real Ham Bone
5921	Jill Stein, the Green Part's presidential candidate, is not yet on the ballot in every state.	Is the Green Party on the Ballot in All 50 States?
5587	Image is a screenshot of a sincere debate between Facebook friends over the Affordable Care Act and Obamacare.	Obamacare and the Affordable Care Act
8591	Ted Cruz was unable to locate the clitoris on a diagram of the female anatomy.	Did Ted Cruz Fail to Identify the Clitoris on a Female Anatomy Chart?
6142	Lightning strikes have killed people who were talking on the telephone.	Lightning Telephone Deaths
8732	The CDC has announced trials of an Ebola vaccine that works only on white people.	CDC Says Ebola Vaccine Only Works on White People
3700	At the time of his death in April 2018, 7-year-old Ethan Hauschultz was being punished for not memorizing thirteen Bible verses.	Was a 7-Year-Old Boy Killed for Not Memorizing Bible Verses?
6920	People traveling to the United States under the Visa Waiver Program could be turned away due to new requirements involving biometric passports, or ePassports.	Biometric Passports
7248	Photographs show a 2011 NFL Veterans Day tribute that ESPN omitted from their pre-game coverage.	Was a Veterans Day Tribute at Lambeau Field Not Aired by ESPN?
5038	Family member runs obituary for deceased parent that maligns his siblings.	Josie Anello Obituary
6953	Photograph depicts a mysterious and large sea creature that washed ashore in Mexico in June 2016.	Mysterious ‘4-Metre Long Sea Creature’ Washes Ashore
3658	As President Obama departed Cuba, dozens of prospective refugees clung to the wings of Air Force One.	Were Hundreds of Cuban Refugees Clinging to Air Force One on Flight Back to U.S.?
4201	Clever thief finds an inventive way to steal right under a guard’s nose	Stealing Wheelbarrows
